date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:23	76/76	---MCZ	200	added ('OK')	text/plain	date:Tue,%2029%20Sep%202020%2004:10:51%20GMT	https://top20.hanhtrinhlotxac.vn/robots.txt		(from )
11:10:23	31734/31734	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2004:10:51%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/index.html	(from )
11:10:24	53907/53907	---MCZ	200	added ('OK')	text/css	etag:W/%225f479256-d293%22	https://top20.hanhtrinhlotxac.vn/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-includes/css/dist/block-library/style.mind03b.css	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:24	64864/64864	---MCZ	200	added ('OK')	text/css	etag:W/%225f6c6d3a-fd60%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post.css?ver=58	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post1f4a.css	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:26	29917/29917	---MC-	200	added ('OK')	text/javascript	date:Tue,%2029%20Sep%202020%2004:10:28%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/Quy%20V.P/Desktop/facebvq/www.googleadservices.com/pagead/f.txt	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:26	10101/10101	---M--	200	added ('OK')	image/png	etag:%225f6c72df-2775%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/logo.png?ver=58	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/logo1f4a.png	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:26	64864/64864	---MCZ	200	added ('OK')	text/css	etag:W/%225f6c6d3a-fd60%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post.css?ver=67	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post4022.css	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:26	33698/33698	---M--	200	added ('OK')	image/jpeg	etag:%225f6b3e28-83a2%22	https://top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/Bui-Van-Quang-1.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/Bui-Van-Quang-1.jpg	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:26	6211/6211	---M--	200	added ('OK')	image/jpeg	etag:%225f6b3e28-1843%22	https://top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/Bui-Van-Quang-mobile-1.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/Bui-Van-Quang-mobile-1.jpg	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:27	3247/3247	---M--	200	added ('OK')	image/png	etag:%225f6499e4-caf%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/post/icon-logo.png	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/post/icon-logo.png	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
